"Trigger_Quota_Request","PercentUsed","ProviderNamespace","Location","QuotaName","QuotaId","CurrentValue","Limit","Unit","ProvisionedCount"
"False","0.01","Microsoft.Compute","centralus","Premium Storage Managed Disks","PremiumDiskCount","4","50000","Count","6"
"True","20","Microsoft.Compute","centralus","Standard DSv3 Family vCPUs","standardDSv3Family","20","100","Count","6"
"False","0","Microsoft.Compute","centralus","Standard Storage Managed Disks","StandardDiskCount","1","50000","Count","6"
"True","20","Microsoft.Compute","centralus","Total Regional vCPUs","cores","20","100","Count","6"
"False","0.08","Microsoft.Compute","centralus","Virtual Machine Scale Sets","virtualMachineScaleSets","2","2500","Count","6"
"False","0.02","Microsoft.Compute","centralus","Virtual Machines","virtualMachines","5","25000","Count","6"
"False","0","Microsoft.Compute","centralus","ZrsStorageSnapshots","ZRSSnapshotCount","2","75000","Count","6"
"False","0.1","Microsoft.Network","centralus","Application Gateways","ApplicationGateways","1","1000",,"13"
"False","0","Microsoft.Network","centralus","Network Interfaces","NetworkInterfaces","1","65536",,"13"
"True","0.14","Microsoft.Network","centralus","Network Security Groups","NetworkSecurityGroups","7","5000",,"13"
"True","100","Microsoft.Network","centralus","Network Watchers","NetworkWatchers","1","1",,"13"
"True","0.2","Microsoft.Network","centralus","Public IP Addresses","PublicIPAddresses","2","1000",,"13"
"True","0.2","Microsoft.Network","centralus","Public IPv4 Addresses - Standard","IPv4StandardSkuPublicIpAddresses","2","1000",,"13"
"False","0.1","Microsoft.Network","centralus","Virtual Networks","VirtualNetworks","1","1000",,"13"
"True","100","Microsoft.Network","eastus","Network Watchers","NetworkWatchers","1","1",,"1"
"True","100","Microsoft.Network","eastus2","Network Watchers","NetworkWatchers","1","1",,"1"
"False","0.02","Microsoft.Network","southcentralus","Network Security Groups","NetworkSecurityGroups","1","5000",,"3"
"True","100","Microsoft.Network","southcentralus","Network Watchers","NetworkWatchers","1","1",,"3"
"False","0.1","Microsoft.Network","southcentralus","Virtual Networks","VirtualNetworks","1","1000",,"3"
"True","100","Microsoft.Network","westus","Network Watchers","NetworkWatchers","1","1",,"1"
"True","1.6","Microsoft.Storage","canadacentral",,,"4","250","Count","4"
"True","0.8","Microsoft.Storage","westus",,,"2","250","Count","2"
