"Location","VmType","FilterType","Name","Restrictions","vCPUs","MemoryGB","MaxNICs","AccelNet","Architecture"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NC4as_T4_v3","None","4","28","4","True","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NV6s_v2","None","6","112","4","False","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NC8as_T4_v3","None","8","56","8","True","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NV12s_v2","None","12","224","8","False","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NC16as_T4_v3","None","16","110","8","True","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NC24ads_A100_v4","None","24","220","2","True","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NV24s_v2","None","24","448","8","False","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NC40ads_H100_v5","None","40","320","2","True","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NCC40ads_H100_v5","None","40","320","8","True","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NC48ads_A100_v4","None","48","440","4","True","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NC64as_T4_v3","None","64","440","8","True","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NC80adis_H100_v5","None","80","640","8","True","x64"
"eastus2","GPU Accelerated","AVAILABLE","Standard_NC96ads_A100_v4","None","96","880","8","True","x64"
